Country Name,Country Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Antigua and Barbuda,ATG,61.78273171,62.19541463,62.59853659,62.99258537,63.37858537,63.75607317,64.12556098,64.48807317,64.84212195,65.18919512,65.52934146,65.86202439,66.18826829,66.508,66.82178049,67.13007317,67.43339024,67.7307561,68.02263415,68.30953659,68.59197561,68.86895122,69.14092683,69.40792683,69.67046341,69.9285122,70.18256098,70.43263415,70.67973171,70.92282927,71.16295122,71.40058537,71.63470732,71.86585366,72.093,72.31768293,72.53885366,72.75756098,72.97378049,73.18602439,73.39729268,73.60709756,73.81543902,74.02178049,74.22614634,74.42543902,74.61914634,74.80473171,74.98219512,75.15153659,75.31329268,75.46953659,75.62180488,75.77365854,75.92409756,76.07563415
Australia,AUS,70.81707317,70.97317073,70.94243902,70.91170732,70.88097561,70.8502439,70.8195122,70.86926829,70.91902439,70.96878049,71.01853659,71.06829268,71.45756098,71.84682927,72.23609756,72.62536585,73.01463415,73.34439024,73.67414634,74.00390244,74.33365854,74.66341463,74.90487805,75.14634146,75.38780488,75.62926829,75.87073171,76.15170732,76.43268293,76.71365854,76.99463415,77.27560976,77.37804878,77.87804878,77.87804878,77.82926829,78.07804878,78.4804878,78.63170732,78.93170732,79.23414634,79.63414634,79.93658537,80.23902439,80.4902439,80.84146341,81.04146341,81.29268293,81.39512195,81.54390244,81.69512195,81.89512195,82.04634146,82.14878049,82.3,82.45121951
Austria,AUT,68.58560976,69.57731707,69.3095122,69.44365854,69.92195122,69.72219512,70.04585366,69.91780488,70.05756098,69.83317073,69.91463415,70.11463415,70.46341463,71.01463415,71.01219512,71.11463415,71.56585366,71.91463415,72.01219512,72.31219512,72.46341463,72.81219512,72.96097561,73.01219512,73.61219512,73.81463415,74.31707317,74.76829268,75.21707317,75.26585366,75.56829268,75.61707317,75.81707317,76.06829268,76.4195122,76.66829268,76.87073171,77.3195122,77.67073171,77.87560976,78.12682927,78.57560976,78.67804878,78.63170732,79.1804878,79.33170732,79.8804878,80.1804878,80.43170732,80.33170732,80.5804878,80.98292683,80.93658537,81.13658537,81.4902439,81.84390244
Azerbaijan,AZE,60.78085366,60.99639024,61.20292683,61.4074878,61.61258537,61.82221951,62.03639024,62.25009756,62.45782927,62.65758537,62.84339024,63.00919512,63.15402439,63.27836585,63.38221951,63.46909756,63.5425122,63.61146341,63.67995122,63.75595122,63.84804878,63.96778049,64.11263415,64.27802439,64.45480488,64.61707317,64.73387805,64.78953659,64.78265854,64.7245122,64.64721951,64.59458537,64.60580488,64.7062439,64.90109756,65.17473171,65.49436585,65.82126829,66.1277561,66.40985366,66.68158537,66.9724878,67.31060976,67.71256098,68.17343902,68.67709756,69.19904878,69.70621951,70.171,70.5784878,70.91860976,71.18963415,71.40568293,71.58141463,71.7247561,71.84519512
Burundi,BDI,41.23604878,41.54546341,41.86039024,42.17780488,42.49221951,42.79014634,43.05507317,43.28002439,43.46797561,43.62743902,43.78192683,43.95992683,44.18495122,44.47146341,44.81846341,45.21890244,45.65321951,46.09241463,46.51297561,46.90243902,47.26231707,47.60468293,47.93909756,48.26312195,48.56229268,48.78917073,48.8847561,48.82804878,48.6294878,48.32502439,48.00012195,47.76268293,47.69865854,47.8544878,48.23468293,48.79719512,49.46004878,50.11880488,50.6925122,51.15019512,51.48792683,51.7287561,51.93319512,52.15221951,52.40380488,52.70536585,53.06378049,53.46646341,53.90187805,54.36202439,54.837,55.31441463,55.78287805,56.2345122,56.66331707,57.06934146
Belgium,BEL,69.70195122,70.52097561,70.2195122,70.05146341,70.75512195,70.62536585,70.70634146,71.01292683,70.69317073,70.76487805,70.97195122,71.0604878,71.40512195,71.63536585,71.98585366,71.97121951,72.1197561,72.77390244,72.69804878,73.19365854,73.20707317,73.62170732,73.88804878,73.86902439,74.40487805,74.5202439,74.73170732,75.36585366,75.56585366,75.63268293,76.05195122,76.19219512,76.35121951,76.34536585,76.69170732,76.84073171,77.18731707,77.37073171,77.47317073,77.6195122,77.72195122,77.97317073,78.07560976,78.12926829,78.87804878,78.9804878,79.3804878,79.78292683,79.6804878,79.98292683,80.18292683,80.58536585,80.38536585,80.58780488,81.28780488,81.28780488
Benin,BEN,37.28641463,37.73885366,38.19370732,38.65390244,39.12239024,39.59953659,40.08621951,40.58041463,41.08214634,41.58995122,42.10746341,42.6372439,43.179,43.72985366,44.28446341,44.82890244,45.34570732,45.82834146,46.27934146,46.70578049,47.12973171,47.57931707,48.07753659,48.63792683,49.26143902,49.95160976,50.70395122,51.49085366,52.27814634,53.03460976,53.71395122,54.26785366,54.67817073,54.94580488,55.0797561,55.11012195,55.08012195,55.04558537,55.05470732,55.13558537,55.3107561,55.58917073,55.94865854,56.36209756,56.81492683,57.28560976,57.74912195,58.18897561,58.59070732,58.94680488,59.25926829,59.53660976,59.79785366,60.0565122,60.31812195,60.58468293
Burkina Faso,BFA,34.47790244,34.93863415,35.40587805,35.87965854,36.35895122,36.8377561,37.30904878,37.76831707,38.21653659,38.65773171,39.09687805,39.5385122,39.99517073,40.48034146,41.00658537,41.60639024,42.31329268,43.1302439,44.03978049,45.01339024,45.99756098,46.92831707,47.74963415,48.422,48.92436585,49.25121951,49.41753659,49.47226829,49.46290244,49.41987805,49.36560976,49.31646341,49.27795122,49.25965854,49.27770732,49.34031707,49.45080488,49.60587805,49.80665854,50.06065854,50.38285366,50.78860976,51.28165854,51.85726829,52.5072439,53.21843902,53.9752439,54.75565854,55.53570732,56.29487805,57.01468293,57.68112195,58.29582927,58.86036585,59.37529268,59.84465854
Bangladesh,BGD,45.82982927,46.45792683,47.08346341,47.69143902,48.25339024,48.68646341,48.89182927,48.83404878,48.53312195,48.04846341,47.52285366,47.13704878,47.03329268,47.2934878,47.92663415,48.86580488,49.9812439,51.09768293,52.08034146,52.87729268,53.47704878,53.91702439,54.29256098,54.67956098,55.10443902,55.58065854,56.10519512,56.65907317,57.22587805,57.80614634,58.40856098,59.04026829,59.70734146,60.40729268,61.13202439,61.87236585,62.61256098,63.33887805,64.03819512,64.70241463,65.32512195,65.90446341,66.44965854,66.96736585,67.46260976,67.94129268,68.41026829,68.87390244,69.33368293,69.79117073,70.24204878,70.68056098,71.10090244,71.4977561,71.87165854,72.22160976
Bulgaria,BGR,69.24756098,70.19560976,69.49195122,70.30926829,71.12121951,71.29390244,71.22341463,70.41390244,71.22512195,70.43,71.25634146,70.87365854,70.8995122,71.34219512,71.20804878,71.0497561,71.39487805,70.81609756,71.18463415,71.30829268,71.15756098,71.57195122,71.18609756,71.38634146,71.4997561,71.22804878,71.73073171,71.52682927,71.60439024,71.72243902,71.64146341,71.56097561,71.49439024,71.34682927,71.20878049,71.05341463,70.89731707,70.35121951,71.06097561,71.41219512,71.66341463,71.76829268,71.86585366,72.06585366,72.56341463,72.56097561,72.61219512,72.66341463,72.96341463,73.41219512,73.51219512,74.16341463,74.31463415,74.86097561,74.46585366,74.46585366
Bahrain,BHR,52.09243902,53.46056098,54.81929268,56.14709756,57.42587805,58.64007317,59.78260976,60.858,61.86973171,62.81729268,63.69919512,64.51797561,65.27770732,65.98641463,66.64660976,67.26382927,67.84004878,68.37778049,68.87897561,69.34512195,69.77719512,70.17265854,70.5315122,70.85470732,71.14678049,71.41273171,71.65658537,71.88336585,72.09909756,72.30880488,72.51597561,72.72260976,72.92719512,73.1292439,73.3302439,73.53073171,73.7322439,73.93429268,74.13436585,74.33297561,74.52802439,74.71797561,74.90078049,75.07690244,75.24536585,75.40717073,75.56339024,75.71456098,75.86326829,76.01002439,76.15531707,76.29963415,76.44295122,76.58521951,76.72546341,76.86519512
